fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
169031,"ON THE BORDER, Mexican rice",Restaurant Foods,SR Legacy,195.0,3.56,34.2,4.86,1.1,0.0,677.0,39.0,1.18
168898,"Rice flour, brown",Cereal Grains and Pasta,SR Legacy,363.0,7.23,76.5,2.78,4.6,0.0,8.0,11.0,1.98
169865,"Babyfood, peas and brown rice",Baby Foods,SR Legacy,64.0,3.4,11.5,0.5,2.5,0.0,6.0,14.0,1.5
173155,"Snacks, brown rice chips",Snacks,SR Legacy,384.0,8.2,81.5,2.8,4.2,0.0,326.0,11.0,1.49
169864,"Babyfood, vegetable and brown rice, strained",Baby Foods,SR Legacy,289.0,1.9,12.1,1.5,1.1,0.0,14.0,14.0,0.4
170652,"Snacks, rice cakes, brown rice, sesame seed, unsalted",Snacks,SR Legacy,392.0,7.6,81.5,3.8,0.0,0.0,4.0,12.0,1.58
169048,"Babyfood, cereal, brown rice, dry, instant",Baby Foods,SR Legacy,1700.0,8.7,86.0,3.0,6.5,0.0,12.0,55.0,47.6
173263,"Rice, brown, parboiled, cooked, UNCLE BENS",Cereal Grains and Pasta,SR Legacy,147.0,3.09,31.3,0.85,1.7,0.0,4.0,3.0,0.53
168876,"Rice, brown, parboiled, dry, UNCLE BEN'S",Cereal Grains and Pasta,SR Legacy,370.0,7.6,78.7,2.75,3.5,0.0,6.0,8.0,1.16
167698,"Pork sausage rice links, brown and serve, cooked",Sausages and Luncheon Meats,SR Legacy,407.0,13.7,2.36,37.6,0.0,0.0,689.0,15.0,1.12
172026,"Pasta, gluten-free, brown rice flour, cooked, TINKYADA",Cereal Grains and Pasta,SR Legacy,577.0,3.46,32.2,1.67,1.7,0.0,4.0,5.0,0.53
168833,"Sugars, brown",Sweets,SR Legacy,1590.0,0.12,98.1,0.0,0.0,0.0,28.0,83.0,0.71
